Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR272348,2013-05-15 07:25:15,2013-05-15 07:25:15,511279,271803951,0,531,608,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272348/ERR272348.sra,ERX246624,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,05C63149BAC3C363CC5E1AF1683FEABD,BBDF0EB143A616EBE75C14238F8A806A
ERR272349,2013-05-15 07:25:15,2013-05-15 07:25:15,492393,261576570,0,531,582,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272349/ERR272349.sra,ERX246625,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,E8EA3AEF4272B79EB55D1A85C39E4568,2942171BFCFE3C6E9CF5AC98188D670A
ERR272350,2013-05-15 07:25:15,2013-05-15 07:25:15,604218,312995367,0,518,701,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272350/ERR272350.sra,ERX246626,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,375A28CC0625D5F678113AE2C3A02A2E,6514017D60DA548873689F46CC3CA0AF
ERR272351,2013-05-15 07:25:15,2013-05-15 07:25:15,565220,294714135,0,521,657,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272351/ERR272351.sra,ERX246627,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,8008FAC8A3A6BA47E2D72B07BC5A48D3,CD226AB160DA522C6B598C67102111CC
ERR272352,2013-05-15 07:25:15,2013-05-15 07:25:15,617037,313702625,0,508,703,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272352/ERR272352.sra,ERX246628,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,C74719E1BCA3D19EA437DE46E5F15354,E66967A9E229F7649FE1437991CBEEED
ERR272353,2013-05-15 07:25:15,2013-05-15 07:25:15,613220,312102357,0,508,698,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272353/ERR272353.sra,ERX246629,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,DB10F61291E03BABAE63CF97E1E400B7,4DC67C56C87C507C0C5A67B3C1A56E6D
ERR272354,2013-05-15 07:25:15,2013-05-15 07:25:15,610491,321293417,0,526,711,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272354/ERR272354.sra,ERX246630,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,32F1CD2620BBD463706681FEDE774304,1F348EEAE2A1E3F5DCCC0AF6DB3180E1
ERR272355,2013-05-15 07:25:15,2013-05-15 07:25:15,555090,294209971,0,530,650,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272355/ERR272355.sra,ERX246631,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,53081F95473526A1DAE563DA2311F1BB,CDA74404CADB3658B451B531432711FE
ERR272356,2013-05-15 07:25:15,2013-05-15 07:25:15,643707,331600563,0,515,757,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272356/ERR272356.sra,ERX246632,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,9A2EFA46026086293766FF6EAFAE2E33,B3D23F1169C677C3BF5389CC11DD7CE5
ERR272357,2013-05-15 07:25:15,2013-05-15 07:25:15,584270,302015251,0,516,688,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272357/ERR272357.sra,ERX246633,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,97ABAE8A9EBB7BD5C5D295A2EBB92610,158BD20C9C24A735162D3FF496F872FD
